step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_detections,metrics/test.rmse_detections_pcutoff,metrics/test.rmse_pcutoff
35,,,,,3.0646900995634496e-05,0.03021910972893238,0.0007708013290539384,0.0007708013290539384,,,,,,
36,,,,,2.8414599000825547e-05,0.028922244906425476,0.0007372634718194604,0.0007372634718194604,,,,,,
37,,,,,2.8609518267330714e-05,0.027775567024946213,0.0007086939294822514,0.0007086939294822514,,,,,,
38,,,,,2.855587808880955e-05,0.03359691798686981,0.0008542009745724499,0.0008542009745724499,,,,,,
39,,,,,2.867338844225742e-05,0.030136654153466225,0.0007677531102672219,0.0007677531102672219,,,,,,
40,2.671043694135733e-05,0.06414961069822311,0.0016170956660062075,0.0016170956660062075,2.5678058591438457e-05,0.029151080176234245,0.0007416160660795867,0.0007416160660795867,91.05784262636789,91.5,2.883315324783325,2.883315324783325,2.883315324783325,2.883315324783325
41,,,,,2.53073940257309e-05,0.02808544412255287,0.000714789901394397,0.000714789901394397,,,,,,
42,,,,,2.6791185518959537e-05,0.02855619043111801,0.0007273003575392067,0.0007273003575392067,,,,,,
43,,,,,2.685856270545628e-05,0.030027225613594055,0.000764109892770648,0.000764109892770648,,,,,,
44,,,,,2.5964480300899595e-05,0.02704593352973461,0.0006891305674798787,0.0006891305674798787,,,,,,
45,,,,,2.293713259859942e-05,0.026849905028939247,0.0006827161414548755,0.0006827161414548755,,,,,,
46,,,,,2.400607081654016e-05,0.0258486270904541,0.0006582187488675117,0.0006582187488675117,,,,,,
47,,,,,2.4557672077207826e-05,0.026794448494911194,0.0006821400602348149,0.0006821400602348149,,,,,,
48,,,,,2.6156851163250394e-05,0.02719741314649582,0.0006930137751623988,0.0006930137751623988,,,,,,
49,,,,,2.6370313207735308e-05,0.02532542683184147,0.0006463208701461554,0.0006463208701461554,,,,,,
50,2.7452761059976183e-05,0.06019175052642822,0.0015185202937573195,0.0015185202937573195,2.4815668439259753e-05,0.02693135291337967,0.000685691658873111,0.000685691658873111,91.1881188118812,91.5,2.708484411239624,2.708484649658203,2.69364070892334,2.69364070892334
51,,,,,2.6066220016218722e-05,0.026604093611240387,0.0006781354895792902,0.0006781354895792902,,,,,,
52,,,,,2.496531124052126e-05,0.0262395441532135,0.0006684712716378272,0.0006684712716378272,,,,,,
53,,,,,2.6309922759537585e-05,0.02581806667149067,0.0006586066447198391,0.0006586066447198391,,,,,,
54,,,,,2.2621698008151725e-05,0.024194791913032532,0.0006161806522868574,0.0006161806522868574,,,,,,
55,,,,,2.5431805624975823e-05,0.02449098974466324,0.0006249906728044152,0.0006249906728044152,,,,,,
56,,,,,2.2593965695705265e-05,0.024683428928256035,0.0006283827824518085,0.0006283827824518085,,,,,,
57,,,,,2.176737689296715e-05,0.023949481546878815,0.0006096207653172314,0.0006096207653172314,,,,,,
58,,,,,2.2441854525823146e-05,0.024465862661600113,0.0006228675483725965,0.0006228675483725965,,,,,,
59,,,,,2.4971204766188748e-05,0.025306379422545433,0.0006451450753957033,0.0006451450753957033,,,,,,
60,3.034624387510121e-05,0.06339003890752792,0.0015999239403754473,0.0015999239403754473,2.233302075183019e-05,0.02266206219792366,0.0005777180776931345,0.0005777180776931345,90.0,90.0,2.82861328125,2.82861328125,2.6821324825286865,2.6821324825286865
61,,,,,2.073505129374098e-05,0.023049751296639442,0.0005866113351657987,0.0005866113351657987,,,,,,
62,,,,,2.3814242013031617e-05,0.023904355242848396,0.0006095159915275872,0.0006095159915275872,,,,,,
63,,,,,2.1957059288979508e-05,0.023202117532491684,0.0005910315085202456,0.0005910315085202456,,,,,,
64,,,,,2.3522805349784903e-05,0.02546778880059719,0.0006484561017714441,0.0006484561017714441,,,,,,
65,,,,,2.4169716198230162e-05,0.023862561210989952,0.0006086489302106202,0.0006086489302106202,,,,,,
66,,,,,2.2353779058903456e-05,0.024051981046795845,0.0006124763167463243,0.0006124763167463243,,,,,,
67,,,,,2.1689256755053066e-05,0.023848937824368477,0.0006070681265555322,0.0006070681265555322,,,,,,
